trust_type,trust_name,system_name,user_category,sus_score,csus_score,review_positive_text,review_negative_text,,,
Community Trust,Shropshire Community Health NHS Trust,SOEL Health,Dental Nurse / Hygienist /  Dental,77.5,40,I use it at every clinical session so it is very familiar to me. It provides all the information that I need to provide the appropriate treatment for my patients.,"I find it frustrating, that the computer times out when away from the PC for more than 15 mins whilst I'm busy treating a patient.",,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,10,17.5,nil,cannot access historic blood results -the web link doesnt open usually. cannot narrow down microbiology results in a group to look at.system is too slow.,,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,22.5,10,,,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS SOUTHEND CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,52.5,30,Intuitive but crushing too often,"make it more reliable
Able to copy and paste certain information",,,
Acute Trust (non-Foundation),Barts Health NHS Trust,Millennium (Cerner),Secondary / Tertiary Care Doctor,30,0,Nothing,"The icons look like a ten year old made them. The whole thing needs a huge facelift. When doing that the usability needs to be improved by 1000 times. Plain English should be used. ""Re-print requisition"" - what does that mean? Whatever it means, it doesn't reprint the bit of the request that was originally supposed to be printed. Useless! Too many mouse clicks needed to do anything. It needs a total re-write, but a facelift to make it look like a modern program would probably help first impressions.",,,
Acute Foundation Trust,Countess of Chester Hospital NHS Foundation Trust,Meditech (Meditech),Secondary / Tertiary Care Doctor,77.5,25,Reliable and resilient. Fully integrates care across most of our Trust. Appears to work well with third party systems - although some areas insoluble,Improved user interface please  -  a windows consistent front end would significantly improve user satisfaction and reduce training time. I'm looking forward to their new offering with a single patient account covering all episodes of care,,,
Acute Foundation Trust,Royal Devon and Exeter NHS Foundation Trust,In House System (In House),Secondary / Tertiary Care Doctor,65,30,Easy to use. Access to letters without hard copies. ,Needs to be much more integrated. Needs to be the whole record. Should be able to record different patient interactions. Etc etc,,,
Acute Foundation Trust,Derby Hospitals NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,17.5,10,"Access to all specialties letters without having to trawl through notes
Being able to look at drug cards remotely when giving telephone advice to colleagues","Needs to be more intuitive - I can never quite work out how to prescribe TTOs or do VTE / AKI assessments so I get endless pop-up boxes telling me they need doing

More effective use of alerts when prescribing - a particular bug-bear of mine is being told I shouldn't be prescribing Morphine MR alongside an immediate release preparation when arguably, I should be prompted to do exactly that when prescribing Zomorph / MST. And I have to tell the system every time that it's an inappropriate warning. I therefore am far more likely to end up ignoring alerts that matter.

Electronic prescribing is cumbersome and time-consuming and significantly increases the length of time it takes to do a ward round",,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,45,22.5,It tries to cover all aspects,"very slows.
delays all the work.
I am still not convinced regarding the back if we paperless to this system, if it crashes or gets hacked despite the good security systems.
we can't save our favourites as they need to saved everytime..hence no point of that.
In the 21st century things should be made more easier and not hard.
",,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,0,0,nothing,get a new system like web V,,,
Scottish Health Board,NHS Ayrshire and Arran,TrakCare (Intersystems),Secondary / Tertiary Care Doctor,52.5,20,,,,,
Acute Trust (non-Foundation),London North West Healthcare NHS Trust,Epro (Bluewire Technologies),IT or Technical Staff,100,50,consistent user interface makes it easy to learn and use,,,,
Acute Trust (non-Foundation),Oxford University Hospitals NHS Trust,Millennium (Cerner),Secondary / Tertiary Care Doctor,20,10,,,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS SALFORD CCG,Vision 3 (INPS),Primary Care Doctor - GP,32.5,10,,"Horrible user interface, inconsistent logic, very poor/completely lacking rules based systems - it's 2015 and it still can't check a drug's CKD requirements against a patient's latest GFR result. ",,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),"Physiotherapy, OT, Medical Technicians",17.5,2.5,"Not much, it is much worse than our old system, Patient Centre.",Most things. Speed and number of functions or mouse clicks needed to complete ANY taks.  This system is so much slower than our old system and everything seems to take more steps.,,,
Acute Trust (non-Foundation),North Bristol NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,72.5,20,"The fact it's not Cerner Millenium! Lorenzo has only just been introduced at my Trust and it is not yet used as an EPR except in ED and for nursing notes. I have great hopes for it as like most clinicians, I am desperate to get a properly integrated IT system and get rid of notes.","We have nurse specialists and a specialist pharmacist who do stand-alone clinics but on Lorenzo these need to be under a consultant so I have lots of clinics listed under me a care provider which I don't do. I would like to launch all the clinical applications I need for my work from within Lorenzo- ICE, Synapse, and 2 databases (1 for prescribing and 1 for my speciality). I have to have numerous tabs open to do a clinic. I hope this will be possible in the future as it would make me more efficient & give me more time to listen to the patient.",,,
Acute Foundation Trust,South Tees Hospitals NHS Foundation Trust,Maxims (IMS Maxims),IT or Technical Staff,92.5,32.5,Very easy to use and administrators can create their own forms/scoring charts.,"Better support from the supplier, its almost non-existant.",,,
Acute Trust (non-Foundation),North Bristol NHS Trust,Lorenzo (CSC),"Administrative staff - eg ward clerk, clinical coder, secretary",40,30,"Editing patient letters is very different and useful for the Admin team, as some doctors and nurses will want to make last minutes changes to patient's OPA that could not be implimented onto Lorenzo manually. This is a step in the right direstion to resolve confusion for patient (Even after being contacted and updaed on the amended OPA) when receiving this letter through the post.","A couple of things I would change just to make things slightly quicker (And cause less fustration) have been bullet pointed just below;

1) There is no right click function available on the Lorenzo system at present, so as you can imagine there is alot of page surfing from one to the other. It might be a petty complaint but lets face it, administrative staff all love the right click design (COPY/PASTe/CUT etc)to get work done quicker.

2) When cancelling a patient's appointment in error, there is no way of amending this. Infact you have to write out a form to IM&T to detail and summarize what and why you are querying them about just so this could be changed. All there needs to be is a simple option on Lorenzo so that we can quickly amend a small (Human) error whichout writting out form.

With that said I wouldn't be suprised if this is going to change in the comming weeks/months, and it all gets sorted soon. Fingers crossed! ",,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Outpatient Nurse/Manager,15,12.5,Not a lot.,"It is far too slow, it needs to require less actions to gain the information required.",,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),"Physiotherapy, OT, Medical Technicians",20,22.5,n/a,Its not an easy layout on any screen.  No clear direction for the eyes to focus on.,,,
Community Trust,Staffordshire and Stoke on Trent Partnership NHS Trust,Kodak R4 (Carestream Dental),Dentist,22.5,25,Can have all the pt information in one screen (ie chart and clinical notes),"Though the levels of error and problems have reduced, it still is frustrating when an error occurs and the whole computer has to be shut down, then restarted. It keeps patients waiting and uses up valuable clinical time ",,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),"Community Nurse - School Nurse, Health Visitor etc",30,10,Can't think of anything.,"Paris is not fit for purpose.  IT should enable us, assist us and make us more efficient, however Paris disables us, makes providing care and accessing information more difficult and time consuming.  

There are too many clicks involved when using Paris.  

You have to enter the same information more than once into various different documents, and you cannot look at two different documents at once to do so. This means you either have to print the document out, thereby wasting paper, or continually go in and out of the documents, thereby wasting time, or open Paris twice so you can view the documents next to each other, thereby potentially preventing other users from logging in.   

Would be useful to be able to view current medication in a specific medication tab.  Currently you have to trawl through letters, activities and casenotes (including paper notes).

When it comes to sharing information, Paris is a risk!!

Would be helpful to have online reminders when CPAs, risk assessments, etc are due.

It takes an age just to enter one activity because of all the fields that need to be completed.  Some fields will always be the same, so it would be helpful if they were set as defaults for each user, eg if working in community all entries will be for community.

Information that is entered should be pulled through into every document that requires it instead of having to re-enter it manually.  In CPA care plan it asks for contact information for service user and GP which is already on Paris however we have to go into central index and write this down and then reinput it onto care plan when it is already there.

Please give us a user friendly, intuitive package designed for healthcare, rather than a convoluted one that even the most proficient IT geek struggles with!!   Clinical staff are spending too much time at their computers instead of seeing patients because of how unwieldy and time-consuming Paris is.  Investing in a good system will allow clinical staff to support service users more effectively and will make us safer and more efficient.  
",,,
